見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,特別展「2020日・チェコ交流100周年 ミュシャと日本、日本とオルリク」,展示,～12月15日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2019－冬 特集「ニホンラシサを探せ」,展示,～12月15日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,※～1月31日まで照明工事のため休館します。,,,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,モノづくり体験（ハニワ）,イベント,12月7日～令和2年3月14日の各土曜日13:30～,,小学生以上 ,各回30人（先着順）,350円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,ジュニア考古学研究発表会,イベント,12月15日（日）13:30～15:30,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）, 　　　　　 　　　　　ジュニア考古学研究応募作品展,展示,12月17日（火）～令和2年1月13日（祝）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,うなりごまづくり,イベント,12月22日（日）13:30～15:30,,小学生以上,30人（先着順）,300円,12月6日13:00～,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,9:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合次の平日）　毎月第2木曜,中高生読書まつり(1)ビブリオバトル和歌山大会決勝戦(2)ビブリオバトル・POPコンクール表彰式,イベント,12月15日（日）11:00～16:15,,中学生以上, 200人（先着順）,,,入場無料
県立紀南図書館, 0739-22-2061,0739-22-4773,〒646-0011 田辺市新庄町3353-9（県立情報交流センターBig・U内）,9:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合次の平日）　毎月第2木曜,子どもと本の紀南ネット「おはなしまつり」,イベント,12月15日（日）10:30～14:15,,小学生低学年以下 ,200人（先着順）,,,入場無料
県立紀南図書館, 0739-22-2061,0739-22-4773,〒646-0011 田辺市新庄町3353-9（県立情報交流センターBig・U内）,9:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合次の平日）　毎月第2木曜,ゆうゆうおはなし会,イベント,12月8・22、1月5・12日（日）11:00～11:30,,,,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,, 　　　　　 　　　　　日曜体験教室「来年の干支を描こう！」,イベント,12月15日（日）10:00～12:00、13:30～15:30,,小学生以上（小学生は保護者同伴）,各8人（先着順）,"1,500円",事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,万葉学習セミナー「万葉学習入門～万葉集を彩る生き物たち」,イベント,12月22日（日）10:00～11:30,,18歳以上,20人（先着順）,500円 ,事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,松ぼっくりでX'masツリーを作ろう,イベント,12月14日（土）・15日（日）13:30～15:00,,,各回20人（先着順）,800円 ,事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,箏（こと）・初春のしらべ,イベント,1月3日（金）,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,バラの手入れ教室,イベント,1月12日（日）9:30～12:00,,,36人（先着順）,300円 ,事前申込,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会,イベント,(1)12月2日（月）・8日（日）・22日（日）、1月8日（水）・12日（日）・26日（日）11:00～(2)12月15日（日）13:30～,(1)県動物愛護センター(2)海南市わんぱく公園,,,"※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代2,700円が必要です。",,入場無料
南紀熊野ジオパークセンター,0735-67-7100,0735-67-7191,〒649-3502串本町潮岬2838-3,9:00～17:00,,「古座川の一枚岩」と同じ火砕岩（かさいがん）の中の世界を覗（のぞ）こう,イベント,12月10日（火）～28日（土）※12月24日（火）13:00～15:00 専門員による解説あり,,,,,,入館無料
